Trade Date,Symbol,Trade Type,Qty,Price,Amount,Exchange
2024-01-15,RELIANCE,BUY,10,2450.50,24505.00,NSE
2024-01-15,TCS,BUY,5,3800.00,19000.00,NSE
2024-01-16,INFOSYS,BUY,15,1600.25,24003.75,NSE
2024-01-16,HDFCBANK,BUY,8,1650.00,13200.00,NSE
2024-01-17,RELIANCE,SELL,10,2520.00,25200.00,NSE
2024-01-18,WIPRO,BUY,20,450.75,9015.00,NSE
2024-01-19,TCS,SELL,5,3950.00,19750.00,NSE
2024-01-20,INFY,BUY,12,1580.00,18960.00,NSE
2024-01-22,HDFCBANK,SELL,8,1720.00,13760.00,NSE
2024-01-23,TATAMOTORS,BUY,25,620.50,15512.50,NSE
2024-01-24,WIPRO,SELL,20,475.00,9500.00,NSE
2024-01-25,SBIN,BUY,30,580.00,17400.00,NSE
